                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H            FONDO                                    N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       5400                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       5500                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       5600                                    10                       10000             800                                         10        10000          1000                     10      10000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       5700                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       5900                                    11                       11000             800                                         11        11000          1000                     11      11000          1200                                                         
     CAMPANA ÓPTIMA INTEGRAL MURAL                       6000                                    12                       12000             800                                         12        12000          1000                     12      12000          1200                                                         
                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H            FONDO                                    N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                                                         
                                                                                                                                                                                                                                                                                                                              
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      1200                                     4                        4000            1400                                          4        4000           1800                     4        4000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      1500                                     6                        6000            1400                                          6        6000           1800                     6        6000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      1700                                     6                        6000            1400                                          6        6000           1800                     6        6000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      2000                                     8                        8000            1400                                          8        8000           1800                     8        8000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      2200                                     8                        8000            1400                                          8        8000           1800                     8        8000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      2400                                     8                        8000            1400                                          8        8000           1800                     8        8000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      2500                                    10                       10000            1400                                         10        10000          1800                     10      10000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      2700                                    10                       10000            1400                                         10        10000          1800                     10      10000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      2900                                    10                       10000            1400                                         10        10000          1800                     10      10000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      3000                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      3200                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      3400                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                                                         
