"Unnamed: 0","Unnamed: 1","Unnamed: 2","Unnamed: 3","Unnamed: 4","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15","Unnamed: 16"
"","5900","11","CEOPCM5980","5575.01","","","CEOPCM5910","5802.23","","","CEOPCM5912","6052.24","","","",""
"","6000","12","CEOPCM6080","5752.78","","","CEOPCM6010","5989.21","","","CEOPCM6012","6240.54","","","",""
"","","","","","","","","","","","","","","","",""
"CAMPANA ÓPTIMA COMPENSADA CENTRAL","ANCHO","","Fondo 1400","","","","Fondo 1800","","","","Fondo 2200","","","","",""
"","","N.º FILTROS","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","",""
"","1200","4","CEOPCC1214","2745.21","","","CEOPCC1218","2794.07","","","CEOPCC1222","3056.27","","","",""
"","1500","6","CEOPCC1514","3133.99","","","CEOPCC1518","3199.19","","","CEOPCC1522","3491.08","","","",""
"","1700","6","CEOPCC1714","3462.58","","","CEOPCC1718","3550.67","","","CEOPCC1722","3843.57","","","",""
"","2000","8","CEOPCC2014","3945.41","","","CEOPCC2018","4059.89","","","CEOPCC2022","4362.22","","","",""
"","2200","8","CEOPCC2214","4085.25","","","CEOPCC2218","4209.26","","","CEOPCC2222","4522.39","","","",""
"","2400","8","CEOPCC2414","4878.14","","","CEOPCC2418","5062.34","","","CEOPCC2422","5354.4","","","",""
"","2500","10","CEOPCC2514","4573.71","","","CEOPCC2518","4721.76","","","CEOPCC2522","5042.43","","","",""
"","2700","10","CEOPCC2714","5266.92","","","CEOPCC2718","5467.47","","","CEOPCC2722","5789.21","","","",""
"","2900","10","CEOPCC2914","5595.51","","","CEOPCC2918","5818.95","","","CEOPCC2922","6141.7","","","",""
"","3000","12","CEOPCC3014","5655.71","","","CEOPCC3018","5872.6","","","CEOPCC3022","6224.01","","","",""
"","3200","12","CEOPCC3214","5984.29","","","CEOPCC3218","6224.08","","","CEOPCC3222","6576.51","","","",""
"","3400","12","CEOPCC3414","6312.88","","","CEOPCC3418","6575.56","","","CEOPCC3422","6929","","","",""
"","3500","14","CEOPCC3514","6467.13","","","CEOPCC3518","6733.29","","","CEOPCC3522","7095.16","","","",""
"","3600","12","CEOPCC3614","7011.07","","","CEOPCC3618","7330.62","","","CEOPCC3622","7652.53","","","",""
"","3700","14","CEOPCC3714","6795.71","","","CEOPCC3718","7084.77","","","CEOPCC3722","7447.65","","","",""
"","3900","14","CEOPCC3914","6935.55","","","CEOPCC3918","7234.14","","","CEOPCC3922","7607.82","","","",""
"","4000","16","CEOPCC4014","7278.55","","","CEOPCC4018","7593.99","","","CEOPCC4022","7966.3","","","",""
"","4200","16","CEOPCC4214","7418.39","","","CEOPCC4218","7743.36","","","CEOPCC4222","8126.47","","","",""
"","4400","16","CEOPCC4414","7558.22","","","CEOPCC4418","7892.72","","","CEOPCC4422","8286.64","","","",""
"","4500","18","CEOPCC4514","7906.84","","","CEOPCC4518","8255.87","","","CEOPCC4522","8646.52","","","",""
"","4600","16","CEOPCC4614","8445.81","","","CEOPCC4618","8843.83","","","CEOPCC4622","9227.13","","","",""
"","4700","18","CEOPCC4714","8046.68","","","CEOPCC4718","8405.23","","","CEOPCC4722","8806.68","","","",""
"","4900","18","CEOPCC4914","8834.59","","","CEOPCC4918","9248.96","","","CEOPCC4922","9661.94","","","",""
"","5000","20","CEOPCC5014","8535.14","","","CEOPCC5018","8917.74","","","CEOPCC5022","9326.73","","","",""
"","5100","18","CEOPCC5114","9163.18","","","CEOPCC5118","9600.44","","","CEOPCC5122","10014.44","","","",""
"","5200","20","CEOPCC5214","9411.48","","","CEOPCC5218","9862.27","","","CEOPCC5222","10264.43","","","",""
"","5400","20","CEOPCC5414","9646.02","","","CEOPCC5418","10109.66","","","CEOPCC5422","10533.08","","","",""
"","5500","22","CEOPCC5514","9800.26","","","CEOPCC5518","10267.39","","","CEOPCC5522","10699.24","","","",""
"","5600","20","CEOPCC5614","9785.85","","","CEOPCC5618","10259.02","","","CEOPCC5622","10693.25","","","",""
"","5700","22","CEOPCC5714","10128.85","","","CEOPCC5718","10618.87","","","CEOPCC5722","11051.73","","","",""
"","5900","22","CEOPCC5914","10079.94","","","CEOPCC5918","10566.13","","","CEOPCC5922","11019.58","","","",""
"","6000","24","CEOPCC6014","10611.68","","","CEOPCC6018","11128.09","","","CEOPCC6022","11570.38","","","",""
"","","","","","","","","","","","","","","","",""
"CAMPANA ÓPTIMA MONOBLOCK MURAL","ANCHO","","FONDO 800","","","","FONDO 1000","","","","FONDO 1200","","","","",""
"MOTOR","","N.º FILTROS","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","REFERENCIA","PRECIO","","","",""
"9/9 1/3 cv ","1000","2","CEOPMM9131080","1337.43","","","CEOPMM9131010","1408.08","","","CEOPMM9131012","1494.72","","","",""
"9/9 1/3 cv ","1200","2","CEOPMM9131280","1415.36","","","CEOPMM9131210","1489.87","","","CEOPMM9131212","1584.7","","","",""
"9/9 1/2 cv ","1200","2","CEOPMM9121280","1430.06","","","CEOPMM9121210","1504.57","","","CEOPMM9121212","1599.4","","","",""
"9/9 1/3 cv ","1500","3","CEOPMM9131580","1537.37","","","CEOPMM9131510","1615.4","","","CEOPMM9131512","1729.77","","","",""
"9/9 1/2 cv ","1500","3","CEOPMM9121580","1552.07","","","CEOPMM9121510","1630.1","","","CEOPMM9121512","1744.47","","","",""
"9/9 1/3 cv ","1700","3","CEOPMM9131780","1625.69","","","CEOPMM9131710","1710.45","","","CEOPMM9131712","1831.16","","","",""
"9/9 1/2 cv ","1700","3","CEOPMM9121780","1640.39","","","CEOPMM9121710","1725.15","","","CEOPMM9121712","1845.86","","","",""
"9/9 3/4 cv ","1700","3","CEOPMM9341780","1665.59","","","CEOPMM9341710","1750.35","","","CEOPMM9341712","1871.06","","","",""
"9/9 1/3 cv ","2000","4","CEOPMM9132080","1755.14","","","CEOPMM9132010","1846.78","","","CEOPMM9132012","1980.09","","","",""
"9/9 1/2 cv ","2000","4","CEOPMM9122080","1769.84","","","CEOPMM9122010","1861.48","","","CEOPMM9122012","1994.79","","","",""
"9/9 3/4 cv ","2000","4","CEOPMM9342080","1795.04","","","CEOPMM9342010","1886.68","","","CEOPMM9342012","2019.99","","","",""
"9/9 1/2 cv ","2200","4","CEOPMM9122280","1836.11","","","CEOPMM9122210","1930.53","","","CEOPMM9122212","2070.98","","","",""
"9/9 3/4 cv ","2200","4","CEOPMM9342280","1861.31","","","CEOPMM9342210","1955.73","","","CEOPMM9342212","2096.18","","","",""
"9/9 1/2 cv ","2400","4","CEOPMM9122480","2150.74","","","CEOPMM9122410","2265.73","","","CEOPMM9122412","2423.48","","","",""
"9/9 3/4 cv ","2400","4","CEOPMM9342480","2175.94","","","CEOPMM9342410","2290.93","","","CEOPMM9342412","2448.68","","","",""
