																
CAMPANA ÓPTIMA BÁSICA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
	5600	10	CEOPCM5680	5.405,89 €			CEOPCM5610	5.629,75 €			CEOPCM5612	5.868,36 €				
	5700	11	CEOPCM5780	5.518,57 €			CEOPCM5710	5.747,13 €			CEOPCM5712	5.989,41 €				
	5900	11	CEOPCM5980	5.575,01 €			CEOPCM5910	5.802,23 €			CEOPCM5912	6.052,24 €				
	6000	12	CEOPCM6080	5.752,78 €			CEOPCM6010	5.989,21 €			CEOPCM6012	6.240,54 €				
																
CAMPANA ÓPTIMA COMPENSADA CENTRAL	ANCHO		Fondo 1400				Fondo 1800				Fondo 2200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
	1200	4	CEOPCC1214	2.745,21 €			CEOPCC1218	2.794,07 €			CEOPCC1222	3.056,27 €				
	1500	6	CEOPCC1514	3.133,99 €			CEOPCC1518	3.199,19 €			CEOPCC1522	3.491,08 €				
	1700	6	CEOPCC1714	3.462,58 €			CEOPCC1718	3.550,67 €			CEOPCC1722	3.843,57 €				
	2000	8	CEOPCC2014	3.945,41 €			CEOPCC2018	4.059,89 €			CEOPCC2022	4.362,22 €				
	2200	8	CEOPCC2214	4.085,25 €			CEOPCC2218	4.209,26 €			CEOPCC2222	4.522,39 €				
	2400	8	CEOPCC2414	4.878,14 €			CEOPCC2418	5.062,34 €			CEOPCC2422	5.354,40 €				
	2500	10	CEOPCC2514	4.573,71 €			CEOPCC2518	4.721,76 €			CEOPCC2522	5.042,43 €				
	2700	10	CEOPCC2714	5.266,92 €			CEOPCC2718	5.467,47 €			CEOPCC2722	5.789,21 €				
	2900	10	CEOPCC2914	5.595,51 €			CEOPCC2918	5.818,95 €			CEOPCC2922	6.141,70 €				
	3000	12	CEOPCC3014	5.655,71 €			CEOPCC3018	5.872,60 €			CEOPCC3022	6.224,01 €				
	3200	12	CEOPCC3214	5.984,29 €			CEOPCC3218	6.224,08 €			CEOPCC3222	6.576,51 €				
	3400	12	CEOPCC3414	6.312,88 €			CEOPCC3418	6.575,56 €			CEOPCC3422	6.929,00 €				
	3500	14	CEOPCC3514	6.467,13 €			CEOPCC3518	6.733,29 €			CEOPCC3522	7.095,16 €				
	3600	12	CEOPCC3614	7.011,07 €			CEOPCC3618	7.330,62 €			CEOPCC3622	7.652,53 €				
	3700	14	CEOPCC3714	6.795,71 €			CEOPCC3718	7.084,77 €			CEOPCC3722	7.447,65 €				
	3900	14	CEOPCC3914	6.935,55 €			CEOPCC3918	7.234,14 €			CEOPCC3922	7.607,82 €				
	4000	16	CEOPCC4014	7.278,55 €			CEOPCC4018	7.593,99 €			CEOPCC4022	7.966,30 €				
	4200	16	CEOPCC4214	7.418,39 €			CEOPCC4218	7.743,36 €			CEOPCC4222	8.126,47 €				
	4400	16	CEOPCC4414	7.558,22 €			CEOPCC4418	7.892,72 €			CEOPCC4422	8.286,64 €				
	4500	18	CEOPCC4514	7.906,84 €			CEOPCC4518	8.255,87 €			CEOPCC4522	8.646,52 €				
	4600	16	CEOPCC4614	8.445,81 €			CEOPCC4618	8.843,83 €			CEOPCC4622	9.227,13 €				
	4700	18	CEOPCC4714	8.046,68 €			CEOPCC4718	8.405,23 €			CEOPCC4722	8.806,68 €				
	4900	18	CEOPCC4914	8.834,59 €			CEOPCC4918	9.248,96 €			CEOPCC4922	9.661,94 €				
	5000	20	CEOPCC5014	8.535,14 €			CEOPCC5018	8.917,74 €			CEOPCC5022	9.326,73 €				
	5100	18	CEOPCC5114	9.163,18 €			CEOPCC5118	9.600,44 €			CEOPCC5122	10.014,44 €				
	5200	20	CEOPCC5214	9.411,48 €			CEOPCC5218	9.862,27 €			CEOPCC5222	10.264,43 €				
	5400	20	CEOPCC5414	9.646,02 €			CEOPCC5418	10.109,66 €			CEOPCC5422	10.533,08 €				
	5500	22	CEOPCC5514	9.800,26 €			CEOPCC5518	10.267,39 €			CEOPCC5522	10.699,24 €				
	5600	20	CEOPCC5614	9.785,85 €			CEOPCC5618	10.259,02 €			CEOPCC5622	10.693,25 €				
	5700	22	CEOPCC5714	10.128,85 €			CEOPCC5718	10.618,87 €			CEOPCC5722	11.051,73 €				
	5900	22	CEOPCC5914	10.079,94 €			CEOPCC5918	10.566,13 €			CEOPCC5922	11.019,58 €				
	6000	24	CEOPCC6014	10.611,68 €			CEOPCC6018	11.128,09 €			CEOPCC6022	11.570,38 €				
																
CAMPANA ÓPTIMA MONOBLOCK MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
MOTOR		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
