																
CAMPANA ÓPTIMA BÁSICA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
	3600	6	CEIDM3680	5.582,90 €			CEIDM3610	5.934,84 €			CEIDM3612	6.582,80 €			CEIDM3614	7.045,70 €
	3700	7	CEIDM3780	5.717,68 €			CEIDM3710	6.062,92 €			CEIDM3712	6.734,24 €			CEIDM3714	7.185,88 €
	3900	7	CEIDM3980	5.921,71 €			CEIDM3910	6.430,19 €			CEIDM3912	6.948,17 €			CEIDM3914	7.455,52 €
	4000	8	CEIDM4080	6.056,49 €			CEIDM4010	6.558,26 €			CEIDM4012	7.099,61 €			CEIDM4014	7.595,71 €
	4200	8	CEIDM4280	6.191,26 €			CEIDM4210	6.686,34 €			CEIDM4212	7.251,05 €			CEIDM4214	7.735,89 €
	4400	8	CEIDM4480	6.413,54 €			CEIDM4410	6.931,29 €			CEIDM4412	7.517,10 €			CEIDM4414	8.023,61 €
	4500	9	CEIDM4580	7.144,03 €			CEIDM4510	7.462,10 €			CEIDM4512	8.380,02 €			CEIDM4514	8.915,83 €
	4600	8	CEIDM4680	6.548,32 €			CEIDM4610	7.059,37 €			CEIDM4612	7.668,54 €			CEIDM4614	8.163,79 €
	4700	9	CEIDM4780	7.476,14 €			CEIDM4710	7.851,78 €			CEIDM4712	8.802,13 €			CEIDM4714	9.384,47 €
	4900	9	CEIDM4980	6.905,37 €			CEIDM4910	7.432,40 €			CEIDM4912	8.086,04 €			CEIDM4914	8.591,69 €
	5000	10	CEIDM5080	7.731,20 €			CEIDM5010	8.025,42 €			CEIDM5012	9.118,06 €			CEIDM5014	9.705,66 €
	5100	9	CEIDM5180	7.821,64 €			CEIDM5110	8.452,79 €			CEIDM5112	9.110,76 €			CEIDM5114	9.735,48 €
	5200	10	CEIDM5280	8.070,01 €			CEIDM5210	8.520,77 €			CEIDM5212	9.483,43 €			CEIDM5214	10.115,48 €
	5400	10	CEIDM5480	8.153,75 €			CEIDM5410	8.842,47 €			CEIDM5412	9.532,87 €			CEIDM5414	10.204,12 €
	5500	11	CEIDM5580	8.204,78 €			CEIDM5510	8.648,85 €			CEIDM5512	9.634,87 €			CEIDM5514	10.255,66 €
	5600	10	CEIDM5680	8.408,82 €			CEIDM5610	9.016,12 €			CEIDM5612	9.848,80 €			CEIDM5614	10.525,31 €
	5700	11	CEIDM5780	8.423,30 €			CEIDM5710	9.098,63 €			CEIDM5712	9.835,75 €			CEIDM5714	10.484,49 €
	5900	11	CEIDM5980	8.747,62 €			CEIDM5910	9.511,46 €			CEIDM5912	10.214,17 €			CEIDM5914	10.935,13 €
	6000	12	CEIDM6080	9.795,79 €			CEIDM6010	10.775,37 €			CEIDM6012	11.852,91 €			CEIDM6014	13.038,20 €
																
CAMPANA INDUCTORA CENTRAL	ANCHO		FONDO 1400				FONDO 1800				FONDO 2200				FONDO 2500	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1200	4	CEIDC1214	3.901,96 €			CEIDC1218	3.988,87 €			CEIDC1222	4.635,84 €			CEIDC1225	4.839,46 €
	1500	6	CEIDC1514	4.559,87 €			CEIDC1518	4.761,94 €			CEIDC1522	5.473,76 €			CEIDC1525	5.708,96 €
	1700	6	CEIDC1714	4.984,76 €			CEIDC1718	5.023,98 €			CEIDC1722	6.020,39 €			CEIDC1725	6.288,10 €
	2000	8	CEIDC2014	5.655,15 €			CEIDC2018	6.007,45 €			CEIDC2022	6.743,91 €			CEIDC2025	7.112,61 €
	2200	8	CEIDC2214	5.764,19 €			CEIDC2218	6.103,10 €			CEIDC2222	6.886,29 €			CEIDC2225	7.208,43 €
	2400	8	CEIDC2414	7.212,88 €			CEIDC2418	7.537,33 €			CEIDC2422	8.423,78 €			CEIDC2425	8.808,51 €
	2500	10	CEIDC2514	6.495,80 €			CEIDC2518	6.866,65 €			CEIDC2522	7.738,76 €			CEIDC2525	8.149,90 €
	2700	10	CEIDC2714	7.870,79 €			CEIDC2718	8.310,39 €			CEIDC2722	9.261,70 €			CEIDC2725	9.678,01 €
	2900	10	CEIDC2914	8.295,68 €			CEIDC2918	8.572,43 €			CEIDC2922	9.808,33 €			CEIDC2925	10.257,14 €
	3000	12	CEIDC3014	8.528,71 €			CEIDC3018	9.083,46 €			CEIDC3022	10.099,62 €			CEIDC3025	10.547,50 €
	3200	12	CEIDC3214	8.953,59 €			CEIDC3218	9.345,50 €			CEIDC3222	10.646,25 €			CEIDC3225	11.126,64 €
	3400	12	CEIDC3414	9.378,47 €			CEIDC3418	9.607,54 €			CEIDC3422	11.192,89 €			CEIDC3425	11.705,78 €
	3500	14	CEIDC3514	9.623,99 €			CEIDC3518	10.328,97 €			CEIDC3522	11.369,77 €			CEIDC3525	11.951,15 €
	3600	12	CEIDC3614	10.523,80 €			CEIDC3618	11.085,78 €			CEIDC3622	12.211,73 €			CEIDC3625	12.777,56 €
	3700	14	CEIDC3714	10.048,87 €			CEIDC3718	10.591,01 €			CEIDC3722	11.916,40 €			CEIDC3725	12.530,29 €
	3900	14	CEIDC3914	10.157,91 €			CEIDC3918	10.686,66 €			CEIDC3922	12.058,78 €			CEIDC3925	12.626,11 €
	4000	16	CEIDC4014	10.719,26 €			CEIDC4018	11.574,49 €			CEIDC4022	12.639,92 €			CEIDC4025	13.354,81 €
	4200	16	CEIDC4214	10.828,30 €			CEIDC4218	11.670,14 €			CEIDC4222	12.782,30 €			CEIDC4225	13.450,63 €
	4400	16	CEIDC4414	10.937,35 €			CEIDC4418	11.765,79 €			CEIDC4422	12.924,68 €			CEIDC4425	13.546,45 €
	4500	18	CEIDC4514	11.559,91 €			CEIDC4518	12.433,68 €			CEIDC4522	13.634,77 €			CEIDC4525	14.392,09 €
	4600	16	CEIDC4614	12.689,39 €			CEIDC4618	13.156,00 €			CEIDC4622	14.980,83 €			CEIDC4625	15.674,83 €
	4700	18	CEIDC4714	11.668,95 €			CEIDC4718	12.529,33 €			CEIDC4722	13.777,15 €			CEIDC4725	14.487,91 €
	4900	18	CEIDC4914	13.347,31 €			CEIDC4918	13.929,06 €			CEIDC4922	15.818,74 €			CEIDC4925	16.544,32 €
	5000	20	CEIDC5014	12.400,56 €			CEIDC5018	13.292,88 €			CEIDC5022	14.629,62 €			CEIDC5025	15.429,38 €
	5100	18	CEIDC5114	13.772,19 €			CEIDC5118	14.191,11 €			CEIDC5122	16.365,38 €			CEIDC5125	17.123,46 €
	5200	20	CEIDC5214	14.030,18 €			CEIDC5218	15.122,94 €			CEIDC5222	16.427,87 €			CEIDC5225	17.323,85 €
	5400	20	CEIDC5414	14.442,59 €			CEIDC5418	15.174,58 €			CEIDC5422	17.088,90 €			CEIDC5425	17.947,97 €
	5500	22	CEIDC5514	14.688,10 €			CEIDC5518	15.896,01 €			CEIDC5522	17.265,78 €			CEIDC5525	18.193,35 €
	5600	20	CEIDC5614	14.551,63 €			CEIDC5618	15.270,23 €			CEIDC5622	17.231,28 €			CEIDC5625	18.043,79 €
	5700	22	CEIDC5714	15.112,98 €			CEIDC5718	16.158,05 €			CEIDC5722	17.812,42 €			CEIDC5725	18.772,49 €
	5900	22	CEIDC5914	14.906,18 €			CEIDC5918	16.087,31 €			CEIDC5922	17.550,54 €			CEIDC5925	18.384,99 €
	6000	24	CEIDC6014	15.783,37 €			CEIDC6018	17.141,52 €			CEIDC6022	18.535,94 €			CEIDC6025	19.597,00 €
																
CAMPANA INVERTIDA BÁSICA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200				FONDO 1400	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1000	2	CEIVBM1080	1.234,39 €			CEIVBM1010	1.335,82 €			CEIVBM1012	1.573,47 €			CEIVBM1014	1.727,53 €
	1200	2	CEIVBM1280	1.387,87 €			CEIVBM1210	1.478,84 €			CEIVBM1212	1.724,75 €			CEIVBM1214	1.882,47 €
	1500	3	CEIVBM1580	1.582,45 €			CEIVBM1510	1.718,15 €			CEIVBM1512	1.989,24 €			CEIVBM1514	2.183,12 €
	1700	3	CEIVBM1780	1.719,62 €			CEIVBM1710	1.792,07 €			CEIVBM1712	2.173,70 €			CEIVBM1714	2.371,65 €
	2000	4	CEIVBM2080	1.926,81 €			CEIVBM2010	2.120,86 €			CEIVBM2012	2.401,52 €			CEIVBM2014	2.634,01 €
	2200	4	CEIVBM2280	2.035,79 €			CEIVBM2210	2.224,64 €			CEIVBM2212	2.523,46 €			CEIVBM2214	2.747,20 €
	2400	4	CEIVBM2480	2.601,13 €			CEIVBM2410	2.787,39 €			CEIVBM2412	3.142,04 €			CEIVBM2414	3.390,94 €
	2500	5	CEIVBM2580	2.248,43 €			CEIVBM2510	2.449,69 €			CEIVBM2512	2.783,04 €			CEIVBM2514	3.014,87 €
	2700	5	CEIVBM2780	2.795,71 €			CEIVBM2710	3.026,70 €			CEIVBM2712	3.406,54 €			CEIVBM2714	3.691,58 €
	2900	5	CEIVBM2980	2.932,88 €			CEIVBM2910	3.100,62 €			CEIVBM2912	3.591,00 €			CEIVBM2914	3.880,12 €
	3000	6	CEIVBM3080	2.990,29 €			CEIVBM3010	3.266,00 €			CEIVBM3012	3.671,03 €			CEIVBM3014	3.992,23 €
	3200	6	CEIVBM3280	3.127,46 €			CEIVBM3210	3.339,92 €			CEIVBM3212	3.855,49 €			CEIVBM3214	4.180,77 €
	3400	6	CEIVBM3480	3.264,63 €			CEIVBM3410	3.413,84 €			CEIVBM3412	4.039,95 €			CEIVBM3414	4.369,30 €
	3500	7	CEIVBM3580	3.334,64 €			CEIVBM3510	3.668,71 €			CEIVBM3512	4.083,31 €			CEIVBM3514	4.443,12 €
	3600	6	CEIVBM3680	3.814,39 €			CEIVBM3610	4.095,94 €			CEIVBM3612	4.559,34 €			CEIVBM3614	4.899,41 €
	3700	7	CEIVBM3780	3.471,81 €			CEIVBM3710	3.742,63 €			CEIVBM3712	4.267,77 €			CEIVBM3714	4.631,66 €
	3900	7	CEIVBM3980	3.580,80 €			CEIVBM3910	3.846,42 €			CEIVBM3912	4.389,71 €			CEIVBM3914	4.744,85 €
	4000	8	CEIVBM4080	3.679,00 €			CEIVBM4010	4.071,42 €			CEIVBM4012	4.495,59 €			CEIVBM4014	4.894,01 €
	4200	8	CEIVBM4280	3.787,98 €			CEIVBM4210	4.175,21 €			CEIVBM4212	4.617,53 €			CEIVBM4214	5.007,20 €
	4400	8	CEIVBM4480	3.896,97 €			CEIVBM4410	4.278,99 €			CEIVBM4412	4.739,46 €			CEIVBM4414	5.120,39 €
	4500	9	CEIVBM4580	4.000,62 €			CEIVBM4510	4.400,25 €			CEIVBM4512	4.877,11 €			CEIVBM4514	5.274,87 €
	4600	8	CEIVBM4680	4.477,88 €			CEIVBM4610	4.722,39 €			CEIVBM4612	5.457,25 €			CEIVBM4614	5.877,77 €
	4700	9	CEIVBM4780	4.109,61 €			CEIVBM4710	4.504,04 €			CEIVBM4712	4.999,05 €			CEIVBM4714	5.388,06 €
	4900	9	CEIVBM4980	4.672,46 €			CEIVBM4910	4.961,70 €			CEIVBM4912	5.721,74 €			CEIVBM4914	6.178,42 €
	5000	10	CEIVBM5080	4.322,25 €			CEIVBM5010	4.729,09 €			CEIVBM5012	5.258,63 €			CEIVBM5014	5.655,73 €
	5100	9	CEIVBM5180	4.809,63 €			CEIVBM5110	5.035,62 €			CEIVBM5112	5.906,20 €			CEIVBM5114	6.366,95 €
	5200	10	CEIVBM5280	4.892,25 €			CEIVBM5210	5.379,97 €			CEIVBM5212	5.912,89 €			CEIVBM5214	6.402,48 €
	5400	10	CEIVBM5480	5.016,82 €			CEIVBM5410	5.364,41 €			CEIVBM5412	6.134,02 €			CEIVBM5414	6.629,31 €
	5500	11	CEIVBM5580	5.086,83 €			CEIVBM5510	5.619,28 €			CEIVBM5512	6.177,38 €			CEIVBM5514	6.703,13 €
	5600	10	CEIVBM5680	5.125,80 €			CEIVBM5610	5.468,19 €			CEIVBM5612	6.255,96 €			CEIVBM5614	6.742,50 €
	5700	11	CEIVBM5780	5.224,00 €			CEIVBM5710	5.693,20 €			CEIVBM5712	6.361,84 €			CEIVBM5714	6.891,66 €
	5900	11	CEIVBM5980	5.304,81 €			CEIVBM5910	5.826,85 €			CEIVBM5912	6.421,25 €			CEIVBM5914	6.929,51 €
	6000	12	CEIVBM6080	5.431,19 €			CEIVBM6010	6.021,99 €			CEIVBM6012	6.589,66 €			CEIVBM6014	7.154,02 €
																
CAMPANA INVERTIDA INTEGRAL MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200				FONDO 1400	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1000	2	CEIVIM1080	1.367,11 €			CEIVIM1010	1.468,53 €			CEIVIM1012	1.706,19 €			CEIVIM1014	1.860,24 €
	1200	2	CEIVIM1280	1.534,61 €			CEIVIM1210	1.625,58 €			CEIVIM1212	1.871,49 €			CEIVIM1214	2.029,21 €
	1500	3	CEIVIM1580	1.768,46 €			CEIVIM1510	1.904,16 €			CEIVIM1512	2.175,25 €			CEIVIM1514	2.369,13 €
	1700	3	CEIVIM1780	1.921,64 €			CEIVIM1710	1.994,08 €			CEIVIM1712	2.375,72 €			CEIVIM1714	2.573,67 €
	2000	4	CEIVIM2080	2.168,04 €			CEIVIM2010	2.362,09 €			CEIVIM2012	2.642,75 €			CEIVIM2014	2.875,24 €
	2200	4	CEIVIM2280	2.289,73 €			CEIVIM2210	2.478,58 €			CEIVIM2212	2.777,39 €			CEIVIM2214	3.001,13 €
	2400	4	CEIVIM2480	2.894,61 €			CEIVIM2410	3.080,87 €			CEIVIM2412	3.435,52 €			CEIVIM2414	3.684,42 €
	2500	5	CEIVIM2580	2.535,70 €			CEIVIM2510	2.736,95 €			CEIVIM2512	3.070,31 €			CEIVIM2514	3.302,13 €
	2700	5	CEIVIM2780	3.128,46 €			CEIVIM2710	3.359,45 €			CEIVIM2712	3.739,29 €			CEIVIM2714	4.024,33 €
	2900	5	CEIVIM2980	3.281,63 €			CEIVIM2910	3.449,37 €			CEIVIM2912	3.939,75 €			CEIVIM2914	4.228,88 €
	3000	6	CEIVIM3080	3.362,31 €			CEIVIM3010	3.638,02 €			CEIVIM3012	4.043,05 €			CEIVIM3014	4.364,25 €
	3200	6	CEIVIM3280	3.515,48 €			CEIVIM3210	3.727,95 €			CEIVIM3212	4.243,52 €			CEIVIM3214	4.568,79 €
	3400	6	CEIVIM3480	3.668,66 €			CEIVIM3410	3.817,87 €			CEIVIM3412	4.443,98 €			CEIVIM3414	4.773,33 €
	3500	7	CEIVIM3580	3.761,88 €			CEIVIM3510	4.095,95 €			CEIVIM3512	4.510,55 €			CEIVIM3514	4.870,36 €
	3600	6	CEIVIM3680	4.254,61 €			CEIVIM3610	4.536,16 €			CEIVIM3612	4.999,56 €			CEIVIM3614	5.339,63 €
	3700	7	CEIVIM3780	3.915,06 €			CEIVIM3710	4.185,88 €			CEIVIM3712	4.711,02 €			CEIVIM3714	5.074,90 €
	3900	7	CEIVIM3980	4.036,75 €			CEIVIM3910	4.302,37 €			CEIVIM3912	4.845,66 €			CEIVIM3914	5.200,80 €
	4000	8	CEIVIM4080	4.161,46 €			CEIVIM4010	4.553,88 €			CEIVIM4012	4.978,05 €			CEIVIM4014	5.376,47 €
	4200	8	CEIVIM4280	4.283,15 €			CEIVIM4210	4.670,37 €			CEIVIM4212	5.112,69 €			CEIVIM4214	5.502,37 €
	4400	8	CEIVIM4480	4.404,84 €			CEIVIM4410	4.786,86 €			CEIVIM4412	5.247,33 €			CEIVIM4414	5.628,26 €
	4500	9	CEIVIM4580	4.529,12 €			CEIVIM4510	4.928,75 €			CEIVIM4512	5.405,61 €			CEIVIM4514	5.803,37 €
	4600	8	CEIVIM4680	5.028,65 €			CEIVIM4610	5.273,16 €			CEIVIM4612	6.008,02 €			CEIVIM4614	6.428,54 €
	4700	9	CEIVIM4780	4.650,81 €			CEIVIM4710	5.045,24 €			CEIVIM4712	5.540,25 €			CEIVIM4714	5.929,26 €
	4900	9	CEIVIM4980	5.262,50 €			CEIVIM4910	5.551,74 €			CEIVIM4912	6.311,78 €			CEIVIM4914	6.768,46 €
	5000	10	CEIVIM5080	4.896,78 €			CEIVIM5010	5.303,62 €			CEIVIM5012	5.833,16 €			CEIVIM5014	6.230,26 €
	5100	9	CEIVIM5180	5.415,68 €			CEIVIM5110	5.641,66 €			CEIVIM5112	6.512,25 €			CEIVIM5114	6.973,00 €
	5200	10	CEIVIM5280	5.521,45 €			CEIVIM5210	6.009,17 €			CEIVIM5212	6.542,09 €			CEIVIM5214	7.031,68 €
	5400	10	CEIVIM5480	5.662,08 €			CEIVIM5410	6.009,67 €			CEIVIM5412	6.779,28 €			CEIVIM5414	7.274,57 €
	5500	11	CEIVIM5580	5.755,30 €			CEIVIM5510	6.287,75 €			CEIVIM5512	6.845,85 €			CEIVIM5514	7.371,60 €
	5600	10	CEIVIM5680	5.783,77 €			CEIVIM5610	6.126,16 €			CEIVIM5612	6.913,92 €			CEIVIM5614	7.400,46 €
	5700	11	CEIVIM5780	5.908,48 €			CEIVIM5710	6.377,67 €			CEIVIM5712	7.046,32 €			CEIVIM5714	7.576,14 €
	5900	11	CEIVIM5980	5.998,69 €			CEIVIM5910	6.520,73 €			CEIVIM5912	7.115,13 €			CEIVIM5914	7.623,39 €
	6000	12	CEIVIM6080	6.154,88 €			CEIVIM6010	6.745,68 €			CEIVIM6012	7.313,35 €			CEIVIM6014	7.877,71 €
																
CAMPANA INVERTIDA COMPENSADA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200				FONDO 1400	
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
	1200	2	CEIVCM1280	1.847,25 €			CEIVCM1210	1.946,48 €			CEIVCM1212	2.214,74 €			CEIVCM1214	2.386,81 €
	1500	3	CEIVCM1580	2.123,55 €			CEIVCM1510	2.271,58 €			CEIVCM1512	2.567,32 €			CEIVCM1514	2.778,82 €
	1700	3	CEIVCM1780	2.337,28 €			CEIVCM1710	2.416,31 €			CEIVCM1712	2.832,64 €			CEIVCM1714	3.048,59 €
	2000	4	CEIVCM2080	2.620,42 €			CEIVCM2010	2.832,11 €			CEIVCM2012	3.138,29 €			CEIVCM2014	3.391,91 €
	2200	4	CEIVCM2280	2.732,85 €			CEIVCM2210	2.938,87 €			CEIVCM2212	3.264,85 €			CEIVCM2214	3.508,93 €
	2400	4	CEIVCM2480	3.504,00 €			CEIVCM2410	3.707,20 €			CEIVCM2412	4.094,09 €			CEIVCM2414	4.365,61 €
	2500	5	CEIVCM2580	3.035,34 €			CEIVCM2510	3.254,88 €			CEIVCM2512	3.618,54 €			CEIVCM2514	3.871,44 €
	2700	5	CEIVCM2780	3.780,30 €			CEIVCM2710	4.032,29 €			CEIVCM2712	4.446,66 €			CEIVCM2714	4.757,62 €
	2900	5	CEIVCM2980	3.994,04 €			CEIVCM2910	4.177,03 €			CEIVCM2912	4.711,99 €			CEIVCM2914	5.027,40 €
	3000	6	CEIVCM3080	4.056,60 €			CEIVCM3010	4.357,38 €			CEIVCM3012	4.799,23 €			CEIVCM3014	5.149,63 €
	3200	6	CEIVCM3280	4.270,34 €			CEIVCM3210	4.502,12 €			CEIVCM3212	5.064,56 €			CEIVCM3214	5.419,40 €
	3400	6	CEIVCM3480	4.484,08 €			CEIVCM3410	4.646,86 €			CEIVCM3412	5.329,88 €			CEIVCM3414	5.689,18 €
	3500	7	CEIVCM3580	4.553,48 €			CEIVCM3510	4.917,92 €			CEIVCM3512	5.370,20 €			CEIVCM3514	5.762,72 €
	3600	6	CEIVCM3680	5.160,76 €			CEIVCM3610	5.467,91 €			CEIVCM3612	5.973,43 €			CEIVCM3614	6.344,42 €
	3700	7	CEIVCM3780	4.767,21 €			CEIVCM3710	5.062,65 €			CEIVCM3712	5.635,53 €			CEIVCM3714	6.032,50 €
	3900	7	CEIVCM3980	4.879,65 €			CEIVCM3910	5.169,41 €			CEIVCM3912	5.762,09 €			CEIVCM3914	6.149,51 €
	4000	8	CEIVCM4080	5.050,35 €			CEIVCM4010	5.478,45 €			CEIVCM4012	5.941,18 €			CEIVCM4014	6.375,82 €
	4200	8	CEIVCM4280	5.162,78 €			CEIVCM4210	5.585,21 €			CEIVCM4212	6.067,73 €			CEIVCM4214	6.492,83 €
	4400	8	CEIVCM4480	5.275,21 €			CEIVCM4410	5.691,96 €			CEIVCM4412	6.194,29 €			CEIVCM4414	6.609,85 €
	4500	9	CEIVCM4580	5.465,26 €			CEIVCM4510	5.901,22 €			CEIVCM4512	6.421,43 €			CEIVCM4514	6.855,35 €
	4600	8	CEIVCM4680	6.140,83 €			CEIVCM4610	6.407,57 €			CEIVCM4612	7.209,23 €			CEIVCM4614	7.667,98 €
	4700	9	CEIVCM4780	5.577,70 €			CEIVCM4710	6.007,98 €			CEIVCM4712	6.547,99 €			CEIVCM4714	6.972,37 €
	4900	9	CEIVCM4980	6.417,13 €			CEIVCM4910	6.732,66 €			CEIVCM4912	7.561,80 €			CEIVCM4914	8.059,99 €
	5000	10	CEIVCM5080	5.880,18 €			CEIVCM5010	6.324,00 €			CEIVCM5012	6.901,69 €			CEIVCM5014	7.334,89 €
	5100	9	CEIVCM5180	6.630,87 €			CEIVCM5110	6.877,40 €			CEIVCM5112	7.827,13 €			CEIVCM5114	8.329,77 €
	5200	10	CEIVCM5280	6.707,10 €			CEIVCM5210	7.239,16 €			CEIVCM5212	7.820,52 €			CEIVCM5214	8.354,62 €
	5400	10	CEIVCM5480	6.914,01 €			CEIVCM5410	7.293,20 €			CEIVCM5412	8.132,77 €			CEIVCM5414	8.673,09 €
	5500	11	CEIVCM5580	6.983,40 €			CEIVCM5510	7.564,25 €			CEIVCM5512	8.173,09 €			CEIVCM5514	8.746,63 €
	5600	10	CEIVCM5680	7.026,44 €			CEIVCM5610	7.399,95 €			CEIVCM5612	8.259,33 €			CEIVCM5614	8.790,10 €
	5700	11	CEIVCM5780	7.197,14 €			CEIVCM5710	7.708,99 €			CEIVCM5712	8.438,42 €			CEIVCM5714	9.016,40 €
	5900	11	CEIVCM5980	7.208,27 €			CEIVCM5910	7.777,77 €			CEIVCM5912	8.426,21 €			CEIVCM5914	8.980,67 €
	6000	12	CEIVCM6080	7.480,28 €			CEIVCM6010	8.124,79 €			CEIVCM6012	8.744,06 €			CEIVCM6014	9.359,72 €
																
CAMPANA INVERTIDA MONOBLOCK MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200				FONDO 1400	
MOTOR		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO
9/9 1/3 cv 	1000	2	CEIVMM9131080	1.919,14 €			CEIVMM9131010	2.020,57 €			CEIVMM9131012	2.258,22 €			CEIVMM9131014	2.412,28 €
9/9 1/3 cv 	1200	2	CEIVMM9131280	2.072,62 €			CEIVMM9131210	2.163,59 €			CEIVMM9131212	2.409,50 €			CEIVMM9131214	2.567,22 €
9/9 1/2 cv 	1200	2	CEIVMM9121280	2.091,87 €			CEIVMM9121210	2.182,84 €			CEIVMM9121212	2.428,75 €			CEIVMM9121214	2.586,47 €
9/9 1/3 cv 	1500	3	CEIVMM9131580	2.267,20 €			CEIVMM9131510	2.402,90 €			CEIVMM9131512	2.673,99 €			CEIVMM9131514	2.867,87 €
9/9 1/2 cv 	1500	3	CEIVMM9121580	2.286,45 €			CEIVMM9121510	2.422,15 €			CEIVMM9121512	2.693,24 €			CEIVMM9121514	2.887,12 €
9/9 1/3 cv 	1700	3	CEIVMM9131780	2.404,37 €			CEIVMM9131710	2.476,82 €			CEIVMM9131712	2.858,45 €			CEIVMM9131714	3.056,40 €
9/9 1/2 cv 	1700	3	CEIVMM9121780	2.423,62 €			CEIVMM9121710	2.496,07 €			CEIVMM9121712	2.877,70 €			CEIVMM9121714	3.075,65 €
9/9 3/4 cv 	1700	3	CEIVMM9341780	2.456,62 €			CEIVMM9341710	2.529,07 €			CEIVMM9341712	2.910,70 €			CEIVMM9341714	3.108,65 €
9/9 1/3 cv 	2000	4	CEIVMM9132080	2.611,56 €			CEIVMM9132010	2.805,61 €			CEIVMM9132012	3.086,27 €			CEIVMM9132014	3.318,76 €
9/9 1/2 cv 	2000	4	CEIVMM9122080	2.630,81 €			CEIVMM9122010	2.824,86 €			CEIVMM9122012	3.105,52 €			CEIVMM9122014	3.338,01 €
9/9 3/4 cv 	2000	4	CEIVMM9342080	2.663,81 €			CEIVMM9342010	2.857,86 €			CEIVMM9342012	3.138,52 €			CEIVMM9342014	3.371,01 €
9/9 1/2 cv 	2200	4	CEIVMM9122280	2.739,79 €			CEIVMM9122210	2.928,64 €			CEIVMM9122212	3.227,46 €			CEIVMM9122214	3.451,20 €
9/9 3/4 cv 	2200	4	CEIVMM9342280	2.772,79 €			CEIVMM9342210	2.961,64 €			CEIVMM9342212	3.260,46 €			CEIVMM9342214	3.484,20 €
9/9 1/2 cv 	2400	4	CEIVMM9122480	3.305,13 €			CEIVMM9122410	3.491,39 €			CEIVMM9122412	3.846,04 €			CEIVMM9122414	4.094,94 €
9/9 3/4 cv 	2400	4	CEIVMM9342480	3.338,13 €			CEIVMM9342410	3.524,39 €			CEIVMM9342412	3.879,04 €			CEIVMM9342414	4.127,94 €
9/9 1/2 cv 	2500	5	CEIVMM9122580	2.952,43 €			CEIVMM9122510	3.153,69 €			CEIVMM9122512	3.487,04 €			CEIVMM9122514	3.718,87 €
9/9 3/4 cv 	2500	5	CEIVMM9342580	2.985,43 €			CEIVMM9342510	3.186,69 €			CEIVMM9342512	3.520,04 €			CEIVMM9342514	3.751,87 €
2 x 9/9 1/2 cv	2700	5	CEIVMM9122780	4.203,71 €			CEIVMM9122710	4.434,70 €			CEIVMM9122712	4.814,54 €			CEIVMM9122714	5.099,58 €
2 x 9/9 3/4 cv	2700	5	CEIVMM9342780	4.269,71 €			CEIVMM9342710	4.500,70 €			CEIVMM9342712	4.880,54 €			CEIVMM9342714	5.165,58 €
10/10 1 cv T	2700	5	CEIVMM1012780	3.532,71 €			CEIVMM1012710	3.763,70 €			CEIVMM1012712	4.143,54 €			CEIVMM1012714	4.428,58 €
2 x 9/9 1/2 cv	2900	5	CEIVMM9122980	4.340,88 €			CEIVMM9122910	4.508,62 €			CEIVMM9122912	4.999,00 €			CEIVMM9122914	5.288,12 €
2 x 9/9 3/4 cv	2900	5	CEIVMM9342980	4.406,88 €			CEIVMM9342910	4.574,62 €			CEIVMM9342912	5.065,00 €			CEIVMM9342914	5.354,12 €
10/10 1 cv T	2900	5	CEIVMM1012980	3.669,88 €			CEIVMM1012910	3.837,62 €			CEIVMM1012912	4.328,00 €			CEIVMM1012914	4.617,12 €
2 x 9/9 1/2 cv	3000	6	CEIVMM9123080	4.398,29 €			CEIVMM9123010	4.674,00 €			CEIVMM9123012	5.079,03 €			CEIVMM9123014	5.400,23 €
2 x 9/9 3/4 cv	3000	6	CEIVMM9343080	4.464,29 €			CEIVMM9343010	4.740,00 €			CEIVMM9343012	5.145,03 €			CEIVMM9343014	5.466,23 €
10/10 1 cv T	3000	6	CEIVMM1013080	3.727,29 €			CEIVMM1013010	4.003,00 €			CEIVMM1013012	4.408,03 €			CEIVMM1013014	4.729,23 €
